X,Y
1971.875,2.308241527
1972.307692,3.554522356
1974.326923,6.097562352
1979.567308,29.16377574
1982.307692,135.7727142
1985.913462,273.8419634
1986.25,109.4113811
1988.653846,121.8814185
1989.471154,1207.900747
1990.576923,1207.900747
1992.403846,1207.900747
1992.692308,3105.900224
1992.692308,1113.97386
1993.028846,1715.437896
1993.413462,3105.900224
1993.413462,922.2395651
1994.711538,1910.952975
1994.711538,2788.126665
1995.432692,9646.616199
1995.721154,3105.900224
1996.153846,5473.703263
1996.346154,6792.52507
1996.346154,3651.741273
1996.442308,4293.51021
1996.826923,9646.616199
1997.355769,5473.703263
1997.451923,3554.522356
1997.548077,8896.491128
1997.644231,7566.695371
1998.894231,15261.37803
1999.134615,9389.79801
1999.182692,6978.305849
1999.471154,9389.79801
1999.471154,21673.9217
2000.192308,22266.7201
2000.673077,28387.35965
2000.673077,37180.26664
2001.105769,29163.77574
2001.201923,42550.65502
2001.682692,25482.96748
2001.826923,37180.26664
2002.403846,55730.60401
2002.788462,38197.17549
2002.884615,220673.4069
2003.413462,151247.2545
2003.509615,54246.90937
2003.653846,106498.5635
2004.807692,125214.9689
2004.807692,106498.5635
2004.807692,273841.9634
2005.721154,232909.6592
2005.817308,112403.8664
2005.961538,305052.789
2006.057692,115478.1985
2006.875,378551.5249
2006.875,155383.9831
2006.923077,245824.4069
2006.971154,296931.4848
2006.971154,582941.5347
2007.067308,151247.2545
2007.644231,582941.5347
2007.740385,232909.6592
2007.788462,805842.1878
2007.836538,115478.1985
2007.980769,509367.5217
2008.221154,445079.4062
2008.461538,410469.838
2009.182692,457252.6699
2009.278846,784388.5581
2009.663462,2308241.527
2009.711538,1910952.975
2010.192308,410469.838
2010.384615,1309747.264
